Pergunta;Opções;Resposta;Fonte
You are a Power BI specialist at your organization. In your finance table, you have a column called margin, which is defined as 'margin = revenue – cost of goods sold.' In your company, there are several different ways people refer to margin. Some people call margin by other terms such as income, profit or profit margin. To use the Q&A feature successfully in your dashboard, you need to configure your dataset columns to enable users to type in variations for margin. Solution: Add Synonyms to the finance table Does this solution meet the goal?;A. Yes | B. No;"A
E";Certspilot.pdf
CASE 1 You are a Power BI specialist at your organization. In your finance table, you have a column called margin, which is defined as 'margin = revenue – cost of goods sold.' In your company, there are several different ways people refer to margin. Some people call margin by other terms such as income, profit or profit margin. To use the Q&A feature successfully in your dashboard, you need to configure your dataset columns to enable users to type in variations for margin. Solution: Add a detailed description of how you defined margin Does this solution meet the goal?;A. Yes | B. No;"B
E";Certspilot.pdf
CASE 1 You are a Power BI specialist at your organization. In your inventory table, there are several different ways people refer to inventory. Some people call inventory by other terms such as stock, supply, parts or supply. To use the Q&A feature successfully in your dashboard, you need to configure your inventory table and columns. Solution: Set the row label on the inventory table Does this solution meet the goal? www.dumpsgate.com Questions and Answers PDF 2/101;A. Yes | B. No;"A
E";Certspilot.pdf
CASE 1 You are a Power BI specialist at your organization. In your inventory table, there are several different ways people refer to inventory. Some people call inventory by other terms such as stock, supply, parts or supply. To use the Q&A feature successfully in your dashboard, you need to configure your inventory table and columns. Solution: Use Teach Q&A Does this solution meet the goal?;A. Yes | B. No;"A
E";Certspilot.pdf
CASE 2 You have the below relationship between sales, product and employees. The employees table is joined to the product table by 'category', and the product table is joined to the sales table by 'ProductKey.' Your boss asks you to build a visual for each Manager's sales by Subcategory. What do you need to configure to solve that problem? www.dumpsgate.com Questions and Answers PDF 3/101;A. Create a hierarchy in the product table for subcategory | B. In the employees table, change EmployeeID to type text | C. Set the cross-filter between product and employees to both | D. In the Model view, change the product table's toggle 'is hidden' to True;"C
E";Certspilot.pdf
CASE 2 You want to create a hierarchy in the products table for Category and Subcategory. You will then use the hierarchy as a drill down for a sales by product visualization as per the below exhibit. What three actions should you perform in sequence? www.dumpsgate.com Questions and Answers PDF 4/101;A. Right click on Category and select 'New Measure' -> Right click on Subcategory and select 'Add to | B. Right click on Category and select 'Create hierarchy' -> Add Subcategory to the drill through fields | C. Right click on Category and select 'Create hierarchy' -> Right click on Subcategory and select 'Add | D. Right click on Category and select 'Create hierarchy' -> Right click on Subcategory and select 'Add;"D
E";Certspilot.pdf
CASE 2 You need to create a table containing unique combinations of category and subcategory and aggregated sales. What DAX expression should you use?;"A. DATATABLE('sales','product'[Category],'product'[Subcategory],""Sales Total"",SUM(sales[Sales | B. SUMMARIZECOLUMNS('product'[Category],'product'[Subcategory],sales[Sales Amount]) | C. SUMMARIZE('sales','product'[Category],'product'[Subcategory],""Sales Total"",SUM(sales[Sales | D. SELECTCOLUMNS('sales','product'[Category],'product'[Subcategory],sales[Sales Amount])";"C
E";Certspilot.pdf
CASE 3 You work as a Power BI professional within your company's HR group. You are creating a data model to use for reporting within the group. As you start building relationships, you see there are issues connecting some of the tables. What two fixes are required to get the relationships working in your data model? www.dumpsgate.com Questions and Answers PDF 6/101;A. Change the data type of Employees[PayID] and hide Employees[Relocation] and Employees[HR | B. Change the data type of Employees[PayID] and BU[BUID] to Whole Number | C. Ensure the cardinality between BU and Employees from Many to one (*:1) to Many to many (*:*) | D. Change the data type of Employees[PayID] and BU[BUID] to Text;"B
E";Certspilot.pdf
CASE 3 You work as a Power BI professional within your company's HR group. The report you created for retention analysis worked fine in the development environment, but when deployed has performance issues. Solution: Remove columns from the data model not used in reports Does this solution meet the goal? www.dumpsgate.com Questions and Answers PDF 7/101;A. Yes | B. No;"A
E";Certspilot.pdf
CASE 3 You work as a Power BI professional within your company's HR group. The report you created for retention analysis worked fine in the development environment, but when deployed has performance issues. Solution: Hide columns and tables from the data model not used in reports Does this solution meet the goal? www.dumpsgate.com Questions and Answers PDF 8/101;A. Yes | B. No;"B
E";Certspilot.pdf
